Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of OA Gold
Herpetological Conservation and Biology,HERPETOL CONSERV BIO,HERPETOLOGICAL CONSERVATION & BIOLOGY,2151-0733,1931-7603,ZOOLOGY,SCIE,"1,068",0.8,Q3,0.4,0%
AQUATIC MAMMALS,AQUAT MAMM,EUROPEAN ASSOC AQUATIC MAMMALS,0167-5427,N/A,ZOOLOGY,SCIE,"1,504",0.8,Q3,0.39,0%
MOLLUSCAN RESEARCH,MOLLUSCAN RES,TAYLOR & FRANCIS LTD,1323-5818,1448-6067,ZOOLOGY,SCIE,359,0.8,Q3,0.37,4.82%
JOURNAL OF MEDICAL PRIMATOLOGY,J MED PRIMATOL,WILEY,0047-2565,1600-0684,ZOOLOGY,SCIE,825,0.8,Q3,0.36,10.76%
Nauplius,NAUPLIUS,SOC BRASILEIRA CARCINOLOGIA,0104-6497,2358-2936,ZOOLOGY,SCIE,421,0.8,Q3,0.35,93.86%
AFRICAN INVERTEBRATES,AFR INVERTEBR,COUNCIL NATAL MUSEUM,1681-5556,2305-2562,ZOOLOGY,SCIE,235,0.8,Q3,0.33,97.14%
Redia-Journal of Zoology,REDIA,CRA-RESEARCH CENTRE AGROBIOLOGY & PEDOLOGY,0370-4327,0370-4327,ZOOLOGY,SCIE,578,0.8,Q3,0.33,97.14%
JOURNAL OF NATURAL HISTORY,J NAT HIST,TAYLOR & FRANCIS LTD,0022-2933,1464-5262,ZOOLOGY,SCIE,"3,494",0.8,Q3,0.28,6.99%
PACHYDERM,PACHYDERM,IUCN-SSC ASIAN ELEPHANT SPECIALIST GROUP,1026-2881,N/A,ZOOLOGY,SCIE,180,0.8,Q3,0,3.45%
Journal of Zoo and Aquarium Research,J ZOO AQUAR RES,EUROPEAN ASSOC ZOOS & AQUARIA - EAZA,2214-7594,2214-7594,ZOOLOGY,ESCI,312,0.7,Q4,0.6,0%
TROPICAL ZOOLOGY,TROP ZOOL,PAGEPRESS PUBL,0394-6975,1970-9528,ZOOLOGY,SCIE,334,0.7,Q4,0.51,100%
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES,1508-1109,1733-5329,ZOOLOGY,SCIE,909,0.7,Q4,0.47,0.98%
MALACOLOGIA,MALACOLOGIA,INST MALACOL,0076-2997,2168-9075,ZOOLOGY,SCIE,693,0.7,Q4,0.43,0%
South American Journal of Herpetology,S AM J HERPETOL,SOC BRASILEIRA HERPETOLOGIA,1808-9798,N/A,ZOOLOGY,SCIE,397,0.7,Q4,0.42,0%
Zoologia,ZOOLOGIA-CURITIBA,"SOC BRASILEIRA ZOOLOGIA, UNIV FEDERAL PARANA",1984-4689,1984-4689,ZOOLOGY,SCIE,819,0.7,Q4,0.4,96%
INVERTEBRATE REPRODUCTION & DEVELOPMENT,INVERTEBR REPROD DEV,TAYLOR & FRANCIS LTD,0792-4259,2157-0272,ZOOLOGY,SCIE,728,0.7,Q4,0.35,1.72%
North-Western Journal of Zoology,NORTH-WEST J ZOOL,UNIV ORADEA PUBL HOUSE,1584-9074,1842-6441,ZOOLOGY,SCIE,489,0.7,Q4,0.33,0%
PACIFIC SCIENCE,PAC SCI,UNIV HAWAII PRESS,0030-8870,1534-6188,ZOOLOGY,SCIE,"1,266",0.7,Q4,0.31,7.04%
ACTA AMAZONICA,ACTA AMAZON,INST NACIONAL PESQUISAS AMAZONIA,0044-5967,1809-4392,ZOOLOGY,SCIE,"1,417",0.7,Q4,0.29,100%
RECORDS OF THE AUSTRALIAN MUSEUM,REC AUST MUS,AUSTRALIAN MUSEUM,0067-1975,0067-1975,ZOOLOGY,SCIE,651,0.7,Q4,0.27,98.48%
Neotropical Biology and Conservation,NEOTROP BIOL CONSERV,PENSOFT PUBLISHERS,N/A,2236-3777,ZOOLOGY,ESCI,260,0.7,Q4,0.22,94.37%
AFRICAN ZOOLOGY,AFR ZOOL,TAYLOR & FRANCIS LTD,1562-7020,2224-073X,ZOOLOGY,SCIE,629,0.6,Q4,0.53,3.28%
ANNALS OF CARNEGIE MUSEUM,ANN CARNEGIE MUS,CARNEGIE MUSEUM NATURAL HISTORY,0097-4463,1943-6300,ZOOLOGY,SCIE,475,0.6,Q4,0.52,0%
URSUS,URSUS,INT ASSOC BEAR RESEARCH & MANAGEMENT-IBA,1537-6176,1938-5439,ZOOLOGY,SCIE,491,0.6,Q4,0.47,0%
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,HUNGARIAN NATURAL HISTORY MUSEUM,1217-8837,N/A,ZOOLOGY,SCIE,704,0.6,Q4,0.42,98.75%
ZOOLOGY IN THE MIDDLE EAST,ZOOL MIDDLE EAST,TAYLOR & FRANCIS LTD,0939-7140,2326-2680,ZOOLOGY,SCIE,596,0.6,Q4,0.42,4.13%
Acta Herpetologica,ACTA HERPETOL,FIRENZE UNIV PRESS,1827-9635,1827-9643,ZOOLOGY,SCIE,316,0.6,Q4,0.37,100%
ICHTHYOLOGICAL RESEARCH,ICHTHYOL RES,SPRINGER JAPAN KK,1341-8998,1616-3915,ZOOLOGY,SCIE,840,0.6,Q4,0.37,9.02%
CURRENT HERPETOLOGY,CURR HERPETOL,"HERPETOLOGICAL SOC JAPAN, KYOTO UNIV, GRADUATE SCH SCIE",1345-5834,1881-1019,ZOOLOGY,SCIE,202,0.6,Q4,0.35,0%
NEMATROPICA,NEMATROPICA,ORGANIZATION TROP AMER NEMATOLOGISTS,0099-5444,2220-5608,ZOOLOGY,SCIE,430,0.6,Q4,0.26,0%
PHYLLOMEDUSA,PHYLLOMEDUSA,"UNIV SAO PAULO, ESALQ",1519-1397,2316-9079,ZOOLOGY,SCIE,227,0.6,Q4,0.25,97.14%
Check List,CHECK LIST,PENSOFT PUBLISHERS,1809-127X,1809-127X,ZOOLOGY,ESCI,"1,209",0.6,Q4,0.22,95.93%
CALIFORNIA FISH AND GAME,CALIF FISH GAME,CALIFORNIA FISH AND GAME EDITOR,0008-1078,2331-0405,ZOOLOGY,SCIE,361,0.6,Q4,0.17,93.10%
SPIXIANA,SPIXIANA,VERLAG DR FRIEDRICH PFEIL,0341-8391,N/A,ZOOLOGY,SCIE,311,0.6,Q4,0.14,0%
CYBIUM,CYBIUM,SOC FRANCAISE D ICHTYOLOGIE,0399-0974,2101-0315,ZOOLOGY,SCIE,764,0.5,Q4,0.41,0%
REVUE SUISSE DE ZOOLOGIE,REV SUISSE ZOOL,MUSEUM HISTOIRE NATURELLE,0035-418X,0035-418X,ZOOLOGY,SCIE,"1,073",0.5,Q4,0.34,94.87%
FRAGMENTA ENTOMOLOGICA,FRAGM ENTOMOL,UNIV DEGLI STUDI DI ROMA LA SAPIENZA,0429-288X,2284-4880,ZOOLOGY,ESCI,246,0.5,Q4,0.32,0%
